Wall time,Step,Value
1521151739.543451,18,175.0
1521151989.5843155,42,50.0
1521152016.904721,45,75.0
1521152120.0290806,56,450.0
1521152264.086342,71,75.0
1521152292.7961493,74,25.0
1521152498.8630998,94,200.0
1521153121.9342918,155,250.0
1521153153.410628,158,575.0
1521153248.6274521,167,300.0
1521153407.4058728,183,50.0
1521153912.3727427,229,25.0
1521153959.450895,234,175.0
1521154188.5045955,255,200.0
1521154257.1759892,260,150.0
1521154335.7873247,267,150.0
1521154394.013946,273,25.0
1521154761.6849015,308,200.0
1521154781.4945729,310,125.0
1521154872.081539,318,350.0
1521155194.353163,347,325.0
1521155414.046744,367,600.0
1521156004.3093338,421,25.0
1521156015.4985712,422,150.0
1521156233.6186845,442,75.0
1521156268.733453,445,100.0
1521156435.5330617,460,50.0
1521156466.8127084,463,100.0
1521156477.8035607,464,400.0
1521156582.0919442,474,125.0
1521157281.5982056,536,400.0
1521157599.790777,563,75.0
1521157773.5473466,579,0.0
1521157851.3860536,586,150.0
1521157862.2767072,587,250.0
1521158247.6516857,620,550.0
1521158406.284701,634,300.0
1521158499.3211484,642,650.0
1521158519.9389875,644,0.0
1521158551.105956,647,50.0
1521158573.9794986,649,250.0
1521158721.0999835,661,175.0
1521158847.179503,671,175.0
1521159359.2380962,714,75.0
1521159455.200148,722,75.0
1521159552.216167,730,175.0
1521159834.9772596,752,475.0
1521159883.0527904,756,25.0
1521160003.5524373,765,250.0
1521160059.3576593,769,275.0
1521160088.6777792,771,300.0
1521160271.5662627,785,275.0
1521160295.2676435,787,50.0
1521160359.1524456,792,200.0
1521160382.739233,794,175.0
1521160490.294563,802,375.0
1521160566.726458,808,325.0
1521160579.6114857,809,200.0
1521160878.2893136,832,275.0
1521160930.3015049,836,275.0
1521161909.179196,907,200.0
1521161941.1938822,909,225.0
1521162422.9835694,942,150.0
1521162458.7933965,945,225.0
1521162703.02936,962,275.0
1521162820.0555215,971,250.0
1521162834.5771408,972,225.0
1521162915.003387,978,275.0
1521162928.8733785,979,325.0
1521162998.316947,984,300.0
1521163251.315619,1002,275.0
1521163286.3117063,1005,225.0
1521163408.2791665,1014,225.0
1521164051.5004709,1063,200.0
1521164091.7362733,1066,425.0
1521164175.3307993,1072,300.0
1521164258.3844793,1078,325.0
1521164336.0688412,1083,300.0
1521164475.0577033,1093,300.0
1521164556.987976,1099,225.0
1521164623.7977083,1104,250.0
1521165291.5866804,1156,375.0
1521165359.8403523,1161,375.0
1521165371.414364,1162,125.0
1521165632.3122365,1180,300.0
1521165807.5294375,1193,300.0
1521165983.2553375,1206,300.0
1521166541.1965947,1244,425.0
1521166774.0044973,1261,300.0
1521167078.2926567,1281,100.0
1521167165.04622,1287,850.0
1521167272.1269584,1294,275.0
1521167583.114879,1316,250.0
1521167626.325449,1319,375.0
1521167775.4434776,1330,175.0
1521167816.1082022,1333,275.0
1521167858.2112918,1336,550.0
1521167870.0936635,1337,225.0
1521168523.7075152,1385,375.0
1521168606.8410976,1391,350.0
1521168619.1092036,1392,225.0
1521168909.0288854,1414,300.0
1521169071.435184,1426,425.0
1521169205.825186,1436,325.0
1521169623.5421648,1466,450.0
1521169766.2614584,1477,250.0
1521169883.4064183,1485,275.0
1521169965.3047388,1491,350.0
1521170436.9253576,1523,250.0
1521170488.0853693,1527,200.0
1521170844.9091678,1552,300.0
1521171088.641185,1568,300.0
1521171099.7655284,1569,275.0
1521171319.7387033,1584,350.0
1521171371.7814496,1588,325.0
1521171612.5308867,1605,375.0
1521172121.7799232,1640,550.0
1521172240.8220503,1648,325.0
1521172518.9925425,1668,425.0
1521172731.8640456,1682,175.0
1521172861.7616568,1691,425.0
1521172942.3630016,1697,325.0
1521172973.162879,1699,350.0
1521173013.0101433,1702,275.0
1521173097.9706488,1709,325.0
1521173211.0004015,1718,375.0
1521173388.1700187,1732,300.0
1521173417.4836965,1734,225.0
1521173461.9282534,1737,400.0
1521173563.2903416,1745,300.0
1521173576.405119,1746,275.0
1521173850.6277244,1766,350.0
1521173976.388426,1775,175.0
1521174051.7917743,1781,350.0
1521174158.7033377,1789,300.0
1521174265.8643847,1798,400.0
1521174362.016174,1805,350.0
1521174662.5420246,1826,550.0
1521174852.8059366,1840,350.0
1521174915.6780317,1844,525.0
1521175044.551403,1853,425.0
1521175243.3393047,1866,275.0
1521175280.3255174,1869,250.0
1521175368.1655664,1875,325.0
1521175397.3028798,1877,650.0
1521175955.2322598,1917,375.0
1521176182.3768084,1934,250.0
1521176313.2572532,1944,675.0
1521176346.8534887,1947,375.0
1521176611.5036793,1967,500.0
1521176784.4831247,1981,525.0
1521176812.0242767,1983,350.0
1521177060.3888566,2001,250.0
1521177108.6308577,2005,550.0
1521177220.5283246,2013,300.0
1521177466.8476543,2030,300.0
1521177542.485724,2036,275.0
1521177842.426213,2060,325.0
1521178006.751409,2073,350.0
1521178047.4154832,2076,300.0
1521178059.8236718,2077,375.0
1521178175.1987972,2085,500.0
1521178223.369273,2089,300.0
1521178319.8068125,2096,150.0
1521178535.8967102,2111,500.0
1521179008.6762714,2145,375.0
1521179061.5186892,2149,350.0
1521179172.0904887,2156,375.0
1521179300.8606687,2165,425.0
1521179599.881128,2187,250.0
1521179661.8511198,2191,475.0
1521179790.040524,2199,375.0
1521179925.2438824,2207,250.0
1521179974.00513,2211,375.0
1521180264.6884117,2231,175.0
1521180340.6362603,2236,350.0
1521180357.3825924,2237,475.0
1521180395.900985,2239,500.0
1521180443.0882242,2242,250.0
1521180643.7678328,2254,125.0
1521180703.3874547,2257,950.0
1521180787.3484323,2262,625.0
1521181095.797293,2281,550.0
1521181274.1440995,2291,350.0
1521181378.3328125,2297,750.0
1521181476.2806036,2303,3625.0
1521181537.590524,2307,700.0
1521181737.497703,2319,700.0
1521182171.5534937,2345,675.0
1521182330.0494902,2354,675.0
1521182914.0069175,2389,300.0
1521182929.6724746,2390,775.0
1521182975.8165605,2392,450.0
1521183712.2352784,2436,325.0
1521183839.7020295,2444,825.0
1521183974.0101852,2453,350.0
1521184007.648697,2455,450.0
1521184094.9525506,2460,625.0
1521184542.9919126,2485,525.0
1521184555.5382156,2486,375.0
1521184712.9354157,2496,550.0
1521184749.818061,2498,650.0
1521184837.7749279,2503,425.0
1521185072.0906568,2517,200.0
1521185175.7617514,2523,625.0
1521185322.3274662,2532,450.0
1521185568.0021663,2547,450.0
1521185635.1378832,2551,450.0
1521185664.1027095,2553,725.0
1521186114.422605,2578,950.0
1521186486.507077,2600,500.0
1521186587.3590484,2606,475.0
1521186857.9900258,2623,550.0
1521186953.4267964,2629,3675.0
1521187366.9034252,2655,450.0
1521187773.5125022,2678,450.0
1521187887.0681512,2685,450.0
1521187959.98468,2690,775.0
1521188186.917276,2703,450.0
1521188298.1560035,2710,525.0
1521188543.1639142,2725,275.0
1521188741.0870628,2737,475.0
1521188793.2358446,2740,575.0
1521189024.6379616,2754,400.0
1521189586.474843,2789,350.0
1521189603.9650118,2790,475.0
1521189618.8199618,2791,525.0
1521190151.241757,2824,375.0
1521190954.3136246,2872,425.0
1521191094.356379,2881,425.0
1521191237.0781226,2890,525.0
1521191330.7027876,2896,425.0
1521191676.5668156,2917,525.0
1521191721.1973138,2920,500.0
1521192472.889754,2967,525.0
1521192610.3903708,2975,750.0
1521192967.3187551,2998,500.0
1521193174.6449888,3011,425.0
1521193447.9258206,3027,450.0
1521193498.745906,3030,500.0
1521193619.4849782,3038,500.0
1521193665.743681,3041,400.0
1521194063.7167847,3065,500.0
1521194125.961489,3069,525.0
1521194634.5012643,3099,3675.0
1521195002.3159363,3122,3775.0
1521195269.0480752,3137,525.0
1521195582.8000662,3155,400.0
1521195680.426131,3161,625.0
1521195953.3868332,3177,800.0
1521196238.9420595,3195,725.0
1521196259.400376,3196,800.0
1521196841.6570032,3230,500.0
1521197024.798471,3240,550.0
1521197074.9381485,3243,500.0
1521197095.5259674,3244,600.0
1521197131.288073,3246,525.0
1521197148.1841323,3247,575.0
1521197589.4571583,3272,3975.0
1521198156.307533,3305,500.0
1521198554.67321,3328,575.0
1521198853.2013018,3345,500.0
1521199404.146734,3376,500.0
1521199927.0844314,3403,825.0
1521200021.3470876,3408,775.0
1521200391.9952793,3430,575.0
1521200749.9207447,3449,500.0
1521200783.136595,3451,550.0
1521200928.490328,3458,500.0
1521201033.1610785,3464,550.0
1521201329.311228,3480,525.0
1521201661.5689569,3497,1000.0
1521201905.0463912,3509,475.0
1521201959.2555714,3512,375.0
1521202440.80065,3537,3850.0
1521202546.4791765,3543,850.0
1521202928.0719757,3563,775.0
1521203278.366864,3580,550.0
1521203681.4787338,3600,575.0
1521203997.4581602,3618,725.0
1521204033.4571638,3620,775.0
1521204072.972467,3622,3900.0
1521204174.7287214,3628,3850.0
1521204647.50268,3656,275.0
1521204909.5705614,3670,500.0
1521205919.6690636,3726,450.0
1521205987.1784093,3730,475.0
1521206144.7234476,3738,575.0
1521206204.6952229,3741,500.0
1521206778.7297323,3772,425.0
1521206911.8789947,3780,850.0
1521207151.307137,3793,800.0
1521207236.2135909,3798,575.0
1521207505.5109074,3814,800.0
1521207598.1437404,3819,500.0
1521207637.2320871,3821,475.0
1521207813.7547898,3831,525.0
1521207885.4697921,3835,525.0
1521208412.9650369,3864,750.0
1521208508.9903836,3869,1125.0
1521208625.1074991,3876,550.0
1521209597.855843,3928,725.0
1521209722.8250928,3935,475.0
1521209792.5198429,3939,800.0
1521209969.2025394,3950,625.0
1521210075.6064262,3956,475.0
1521210185.0734227,3962,425.0
1521210587.5860295,3984,350.0
1521210870.6565766,4000,525.0
1521211026.4167938,4009,450.0
1521211041.3417013,4010,750.0
1521211248.6227574,4022,550.0
1521211453.602621,4033,750.0
1521211497.6147172,4036,250.0
1521212452.625152,4093,350.0
1521212538.529752,4098,725.0
1521212560.552682,4099,750.0
1521212718.375114,4109,800.0
1521214019.6016922,4182,800.0
1521214208.6801348,4193,725.0
1521214231.386803,4194,825.0
1521214270.2326133,4196,825.0
1521214360.3918498,4201,775.0
1521214378.90715,4202,775.0
1521214827.6698537,4227,800.0
1521214926.3673887,4232,4175.0
1521214977.4515884,4235,800.0
1521215120.0679948,4243,700.0
1521215491.5903847,4263,500.0
1521215557.7928536,4266,4050.0
1521215571.7600389,4267,400.0
1521215847.9989076,4282,350.0
1521216177.460602,4298,825.0
1521216286.2465808,4304,500.0
1521216357.614166,4308,800.0
1521216519.1932693,4317,375.0
1521216554.4360337,4319,450.0
1521216809.6449199,4332,825.0
1521217035.9201725,4343,725.0
1521217546.2349412,4369,825.0
1521217715.5831358,4378,825.0
1521217979.2547085,4393,750.0
1521218133.0233116,4400,800.0
1521218261.3149195,4406,800.0
1521218336.3380315,4410,825.0
1521218688.9275444,4430,500.0
1521218745.6049054,4433,825.0
1521219550.2909176,4475,825.0
1521219853.3062053,4492,775.0
1521220154.935428,4509,725.0
1521220171.184581,4510,725.0
1521220572.775798,4530,800.0
1521220623.1951535,4533,775.0
1521220788.416917,4542,550.0
1521220974.1318061,4553,500.0
1521221411.4292464,4578,825.0
1521221458.4985495,4581,900.0
1521221662.607251,4592,800.0
1521221715.4835162,4595,550.0
1521221749.5816777,4597,800.0
1521221782.7941236,4599,500.0
1521222342.3845882,4628,4050.0
1521222833.0189877,4656,300.0
1521222980.505496,4664,525.0
1521223053.6224208,4668,600.0
1521223202.0850527,4676,750.0
1521223402.9984283,4687,650.0
1521223879.278047,4713,475.0
1521223969.1802382,4718,475.0
1521224255.503114,4734,800.0
1521224538.509286,4750,500.0
1521224680.1538894,4758,4200.0
1521224854.6564984,4767,1325.0
1521225014.4239643,4776,725.0
1521225199.7028391,4787,50.0
1521225215.4559383,4788,475.0
1521225333.2853117,4794,825.0
1521225459.5729187,4800,4075.0
1521225493.8864913,4802,825.0
1521225539.9965153,4805,525.0
1521226212.311975,4840,4175.0
1521226445.1277993,4852,825.0
1521226783.3031197,4871,825.0
1521227171.9070315,4894,600.0
1521227495.4593031,4914,800.0
1521227894.5719883,4938,4075.0
1521228194.4710271,4954,425.0
1521228344.1973069,4962,775.0
1521228498.529019,4971,825.0
1521228546.8244853,4974,800.0
1521228580.5728483,4976,825.0
1521229480.4717808,5027,4075.0
1521229537.7050755,5030,4075.0
1521229915.0785327,5050,825.0
1521229953.2373126,5052,825.0
1521229964.4055438,5053,575.0
1521230099.2496836,5060,575.0
1521230418.9320638,5078,825.0
1521230951.8202903,5106,4075.0
1521231335.7521272,5126,825.0
1521231374.7517185,5128,875.0
1521231470.9018238,5134,825.0
1521231968.3820374,5160,4825.0
1521232071.905447,5165,4100.0
1521232418.6205685,5182,4200.0
1521232770.2853227,5200,4000.0
1521232931.8582726,5208,825.0
1521233532.124816,5239,825.0
1521234020.5738938,5266,875.0
1521234451.7116508,5289,500.0
1521234995.0609107,5318,800.0
1521235244.942272,5329,825.0
1521235591.9494634,5345,1325.0
1521235882.4515066,5359,250.0
1521235914.237072,5360,4075.0
1521236313.204167,5380,500.0
1521237017.1462257,5420,825.0
1521237408.0899014,5442,800.0
1521237491.9940012,5447,775.0
1521238149.114811,5484,925.0
1521238279.0040083,5491,875.0
1521238356.8149807,5495,775.0
1521238450.941818,5501,900.0
1521238557.6631558,5507,4175.0
1521238691.2209227,5515,3775.0
1521238731.1471493,5517,4150.0
1521239296.9013643,5549,375.0
1521239686.9680672,5573,850.0
1521239889.1627343,5585,775.0
1521239921.6494129,5587,750.0
1521240029.8743203,5593,825.0
1521240240.150304,5605,3825.0
1521240698.386984,5630,3750.0
1521241201.1825657,5658,825.0
1521241232.6000884,5660,825.0
1521241304.9755952,5664,825.0
1521241581.5941238,5679,825.0
1521242317.7251196,5720,825.0
1521242369.1331165,5723,4075.0
1521242706.9091866,5741,825.0
1521243028.9875333,5759,300.0
1521243309.1172059,5776,125.0
1521243375.0288765,5779,4150.0
1521243474.9255314,5784,825.0
1521243566.1921504,5789,750.0
1521243935.349606,5807,775.0
1521243954.197941,5808,825.0
1521244285.78155,5825,1050.0
1521244336.6157203,5828,550.0
1521244991.0206902,5862,850.0
1521245032.6523507,5864,800.0
