Wall time,Step,Value
1521151446.6428647,5,40.0
1521151608.112464,15,40.0
1521151648.4232373,18,60.0
1521151746.9265227,24,40.0
1521152011.8425376,40,240.0
1521152036.3363824,42,80.0
1521152074.899268,44,160.0
1521152100.719164,45,240.0
1521152133.83818,47,20.0
1521152229.6555417,53,180.0
1521152280.9359064,56,0.0
1521152479.7883976,65,140.0
1521152590.0025034,71,60.0
1521152615.7663224,72,60.0
1521152638.0387187,73,120.0
1521152665.3471396,74,200.0
1521152755.731641,79,80.0
1521152890.1978204,87,40.0
1521153017.8697221,94,80.0
1521153158.3094966,102,120.0
1521153232.602764,105,540.0
1521153251.2541215,106,140.0
1521153412.0096734,113,120.0
1521153531.4533412,118,240.0
1521153701.8117266,126,280.0
1521153801.920826,130,340.0
1521154012.5213227,139,120.0
1521154243.2514954,150,100.0
1521154358.3681996,155,260.0
1521154424.3733375,158,100.0
1521154637.565737,167,220.0
1521154672.4012692,168,380.0
1521154918.4758317,178,320.0
1521155052.5812588,183,220.0
1521155117.4959455,185,280.0
1521155159.05498,186,420.0
1521155283.225373,190,180.0
1521155484.237652,198,160.0
1521155727.6502702,206,200.0
1521155763.2023249,207,340.0
1521155787.1551933,208,240.0
1521155904.7864609,212,160.0
1521156263.5066364,223,300.0
1521156456.6742904,229,500.0
1521156632.7329962,234,300.0
1521156707.3001451,237,160.0
1521157039.270547,249,180.0
1521157231.3248892,255,320.0
1521157396.2889526,260,240.0
1521157496.312844,263,560.0
1521157616.767335,267,280.0
1521157749.415186,271,320.0
1521157822.859429,273,320.0
1521158448.8201954,292,300.0
1521158630.7139146,297,480.0
1521158666.5146403,298,320.0
1521158864.976702,303,420.0
1521159017.4974766,307,300.0
1521159044.1082368,308,200.0
1521159100.1792588,310,320.0
1521159427.6547976,318,500.0
1521159492.1516724,319,720.0
1521159739.6333354,325,380.0
1521159783.3911176,326,460.0
1521159819.2814622,327,320.0
1521159929.6538718,330,360.0
1521160346.005352,339,780.0
1521160732.6778507,347,220.0
1521161407.1968946,363,580.0
1521161557.786036,367,380.0
1521161805.332141,373,160.0
1521161983.030336,377,520.0
1521162072.5028594,379,600.0
1521162536.2792156,391,480.0
1521162561.8557558,392,300.0
1521163279.1616142,408,360.0
1521163697.5444186,421,220.0
1521163718.7914422,422,200.0
1521163775.51747,424,340.0
1521163938.1118743,430,300.0
1521164220.8248634,439,200.0
1521164258.2906497,441,120.0
1521164285.475815,442,280.0
1521164340.3652241,445,180.0
1521164512.0131407,451,360.0
1521164736.468923,460,180.0
1521164819.04544,463,340.0
1521164837.317603,464,120.0
1521165029.3527868,473,200.0
1521165065.3437862,474,440.0
1521165477.5427926,489,300.0
1521165525.023672,491,280.0
1521165587.4996562,493,140.0
1521165906.1390886,507,180.0
1521166026.309389,512,380.0
1521166086.328545,514,280.0
1521166159.369745,517,160.0
1521166323.773438,525,180.0
1521166457.6827745,531,240.0
1521166497.892808,533,260.0
1521166577.4479136,536,180.0
1521166693.0825622,542,100.0
1521166806.7528837,547,360.0
1521167057.4617395,557,240.0
1521167094.745349,559,120.0
1521167207.998155,563,380.0
1521167313.1551728,569,60.0
1521167405.3108747,573,260.0
1521167439.3024385,574,340.0
1521167542.075332,579,40.0
1521167585.5050075,581,120.0
1521167605.1937082,582,140.0
1521167644.857391,584,160.0
1521167690.3124652,586,200.0
1521167712.0097919,587,180.0
1521167840.7810013,592,280.0
1521167861.7687488,593,180.0
1521168097.3073125,602,220.0
1521168271.0912461,608,300.0
1521168312.9891973,610,180.0
1521168458.738694,615,400.0
1521168610.4823883,620,400.0
1521168655.570047,622,300.0
1521169107.3147323,634,220.0
1521169266.0907958,641,360.0
1521169292.6846383,642,280.0
1521169341.6580565,644,280.0
1521169380.7305841,645,320.0
1521169410.6895642,646,300.0
1521169430.7723672,647,200.0
1521169483.356109,649,200.0
1521169565.2359557,652,180.0
1521169688.4494314,656,360.0
1521169840.5280952,661,280.0
1521169905.7979214,664,260.0
1521170011.4933963,668,240.0
1521170093.6382492,671,300.0
1521170182.6456182,674,520.0
1521170291.9373007,678,260.0
1521170309.9063911,679,120.0
1521170416.5322464,683,300.0
1521170548.475824,688,300.0
1521170587.1731112,689,500.0
1521170787.8831007,696,540.0
1521170887.3832035,699,300.0
1521170983.4160106,703,360.0
1521171101.3226583,706,300.0
1521171206.0073662,710,220.0
1521171298.7401989,714,420.0
1521171428.8991404,718,540.0
1521171504.6931546,721,280.0
1521171540.7825217,722,460.0
1521171562.7043505,723,260.0
1521171728.7472887,730,300.0
1521171897.1710997,736,420.0
1521171955.3776677,738,240.0
1521171980.73688,739,360.0
1521172089.2331998,743,500.0
1521172223.3421013,747,280.0
1521172333.919395,750,460.0
1521172375.9264317,751,640.0
1521172409.530164,752,480.0
1521172527.2703276,756,580.0
1521172817.2369077,765,280.0
1521172911.358225,769,280.0
1521172936.327054,770,320.0
1521172984.5563202,771,720.0
1521173032.8037148,773,460.0
1521173050.5773969,774,140.0
1521173220.4075358,780,200.0
1521173309.5949569,784,420.0
1521173339.4030633,785,400.0
1521173370.8356826,787,200.0
1521173431.055566,789,380.0
1521173546.8007455,792,600.0
1521173566.4828327,793,220.0
1521173590.3117256,794,220.0
1521173611.01608,795,200.0
1521173723.8309393,798,300.0
1521173822.0124884,802,320.0
1521173956.1110198,807,480.0
1521174020.7449787,808,1140.0
1521174037.7570212,809,100.0
1521174213.9981024,815,200.0
1521174385.0581782,821,540.0
1521174471.2302654,825,200.0
1521174568.4508584,828,220.0
1521174660.7892792,832,140.0
1521174760.2742496,836,300.0
1521174815.1739566,838,160.0
1521174988.6844127,843,740.0
1521175681.404973,867,280.0
1521175738.1259835,869,100.0
1521175763.416714,870,340.0
1521175874.8659463,874,120.0
1521175909.0712988,876,80.0
1521176039.2600243,880,780.0
1521176139.2179892,882,840.0
1521176355.231743,890,240.0
1521176499.1095424,896,300.0
1521176599.6360567,900,280.0
1521176793.093624,907,320.0
1521176812.8603728,908,220.0
1521176852.425587,909,600.0
1521176876.3324573,910,300.0
1521177000.6391826,915,620.0
1521177033.166714,917,180.0
1521177132.7698681,920,460.0
1521177159.0443466,921,300.0
1521177206.5398521,923,340.0
1521177450.9855123,931,700.0
1521177480.7653186,932,400.0
1521177550.7046244,935,260.0
1521177747.8928494,942,560.0
1521177839.3449514,945,520.0
1521178065.0147686,954,220.0
1521178118.3976045,956,160.0
1521178166.8240356,958,240.0
1521178232.5843046,961,220.0
1521178255.9303472,962,300.0
1521178384.3494422,966,300.0
1521178551.641397,971,340.0
1521178594.4870894,972,560.0
1521178712.9169872,976,260.0
1521178742.6214488,977,400.0
1521178767.507804,978,360.0
1521178803.2077322,979,520.0
1521178953.7487047,983,260.0
1521178972.6683095,984,240.0
1521179078.07796,987,680.0
1521179101.7939422,988,300.0
1521179334.4597194,996,360.0
1521179460.0452838,1000,540.0
1521179514.4015834,1002,160.0
1521179584.5004678,1004,420.0
1521179645.024484,1005,1040.0
1521179926.72202,1012,500.0
1521179944.368666,1013,140.0
1521179994.9363716,1014,840.0
1521180099.616661,1017,420.0
1521180373.1938896,1025,440.0
1521180435.0602446,1027,300.0
1521180589.754308,1031,860.0
1521180611.6227705,1032,280.0
1521180828.8303347,1037,560.0
1521181111.3411827,1044,740.0
1521181540.2915304,1055,640.0
1521181619.8282228,1057,520.0
1521181837.890693,1063,540.0
1521181869.239571,1064,540.0
1521181952.603026,1066,720.0
1521182007.541468,1068,180.0
1521182148.9306302,1072,600.0
1521182294.494167,1076,140.0
1521182346.970701,1078,200.0
1521182511.5824342,1083,520.0
1521182528.7136154,1084,180.0
1521182545.3110678,1085,160.0
1521182806.8688798,1093,260.0
1521182977.0806239,1099,280.0
1521183082.1257846,1103,480.0
1521183129.4274378,1104,840.0
1521183151.83449,1105,300.0
1521183403.1266344,1114,560.0
1521183535.4303842,1119,340.0
1521183730.7553706,1125,280.0
1521183954.4005055,1133,340.0
1521184015.0818732,1135,400.0
1521184660.8166153,1155,200.0
1521184688.870063,1156,440.0
1521184797.6329472,1160,540.0
1521184834.2294014,1161,660.0
1521184862.871062,1162,460.0
1521185427.2202425,1180,860.0
1521185607.0663896,1185,340.0
1521185817.726722,1192,400.0
1521185864.2070956,1193,820.0
1521186084.6580381,1199,620.0
1521186130.9612002,1201,400.0
1521186290.5004594,1206,480.0
1521186342.4523847,1208,420.0
1521186401.6665025,1210,280.0
1521186490.843082,1214,160.0
1521186988.6797342,1232,580.0
1521187026.6626687,1233,600.0
1521187044.3440835,1234,200.0
1521187103.8029647,1236,640.0
1521187311.8945897,1244,400.0
1521187401.1141977,1247,440.0
1521187556.784216,1253,520.0
1521187624.6886914,1255,600.0
1521187685.1716979,1257,560.0
1521187711.4596918,1258,480.0
1521187793.5470977,1261,380.0
1521187848.4493916,1263,180.0
1521187902.53614,1266,260.0
1521188083.8968177,1274,260.0
1521188295.3049843,1281,260.0
1521188469.0891728,1287,400.0
1521188587.6126912,1291,320.0
1521188609.2113674,1292,280.0
1521188634.1022685,1293,360.0
1521188654.4777267,1294,360.0
1521188882.5290232,1300,740.0
1521189191.737233,1310,520.0
1521189256.284001,1312,860.0
1521189363.8705595,1315,560.0
1521189380.123775,1316,180.0
1521189463.800843,1319,560.0
1521189629.505253,1325,240.0
1521189672.5841215,1327,240.0
1521189752.5503635,1330,420.0
1521189821.9030948,1333,220.0
1521189905.9278624,1336,480.0
1521189928.3416593,1337,300.0
1521190434.6049693,1355,320.0
1521190806.3311458,1366,320.0
1521190959.173545,1370,820.0
1521191410.4202123,1384,560.0
1521191438.5249286,1385,520.0
1521191511.392365,1388,360.0
1521191528.924706,1389,260.0
1521191586.719666,1391,480.0
1521191613.2361743,1392,420.0
1521192338.0564137,1412,660.0
1521192384.5924635,1413,780.0
1521192407.4206398,1414,360.0
1521192554.9892688,1419,780.0
1521192622.0956242,1422,260.0
1521192710.4534419,1426,320.0
1521192777.0495996,1428,640.0
1521192939.9460204,1432,460.0
1521193102.055714,1436,920.0
1521193222.3652053,1440,220.0
1521193764.3094397,1456,980.0
1521194114.5648413,1465,860.0
1521194144.778121,1466,520.0
1521194512.1452684,1477,580.0
1521194771.24739,1485,900.0
1521194791.5675328,1486,300.0
1521194904.4659526,1489,500.0
1521194985.8685155,1491,660.0
1521195016.3741114,1492,540.0
1521195312.660436,1500,1020.0
1521195360.4643245,1501,820.0
1521195604.142541,1508,420.0
1521195688.4523458,1510,700.0
1521196015.796742,1518,660.0
1521196212.2151988,1523,560.0
1521196247.8372555,1524,620.0
1521196354.1348205,1527,800.0
1521196630.5203006,1534,1000.0
1521197193.573846,1546,1140.0
1521197447.9025488,1551,1040.0
1521197507.409486,1552,1120.0
1521197577.9156115,1554,560.0
1521197632.5286217,1555,1060.0
1521197905.8132691,1561,700.0
1521198229.1485386,1568,700.0
1521198276.8487828,1569,940.0
1521198745.583812,1578,1080.0
1521198970.2787657,1582,1000.0
1521199040.9848595,1584,560.0
1521199255.1638546,1588,1380.0
1521199778.4655383,1597,1240.0
1521200150.2542264,1604,660.0
1521200179.6804338,1605,500.0
1521200433.4964259,1610,980.0
1521200884.236161,1618,1200.0
1521200970.825599,1620,800.0
1521201280.5588634,1627,860.0
1521201310.7773366,1628,520.0
1521201487.2630196,1632,960.0
1521201656.8667848,1637,760.0
1521201786.0511744,1640,1180.0
1521201846.375356,1642,360.0
1521201981.2876816,1645,860.0
1521202097.8774362,1648,800.0
1521202265.4901981,1652,320.0
1521202658.5906029,1660,1040.0
1521203002.3408558,1668,1160.0
1521203097.7838402,1670,1160.0
1521203166.4756758,1672,880.0
1521203347.8139083,1675,1680.0
1521203379.6359909,1676,620.0
1521203692.5971315,1682,880.0
1521203732.728394,1683,820.0
1521204146.6800153,1691,620.0
1521204262.5028572,1694,980.0
1521204319.7544136,1695,1380.0
1521204377.8520186,1696,1420.0
1521204423.1628833,1697,880.0
1521204505.858199,1699,1040.0
1521204632.871728,1702,1020.0
1521205014.987658,1709,1200.0
1521205085.3109148,1710,1660.0
1521205442.1956625,1717,400.0
1521205479.8243399,1718,880.0
1521205535.448996,1719,1280.0
1521205936.1161494,1728,880.0
1521206112.8555956,1732,1060.0
1521206201.7463832,1734,840.0
1521206237.7712944,1735,800.0
1521206323.5005076,1737,1260.0
1521206533.944722,1742,880.0
1521206594.892925,1743,1500.0
1521206665.5927415,1745,480.0
1521206722.4429257,1746,1060.0
1521206768.806218,1747,1100.0
1521207007.150256,1752,720.0
1521207686.6692495,1766,1520.0
1521208102.1603363,1775,1280.0
1521208374.5955112,1781,1040.0
1521208705.764308,1788,1520.0
1521208759.9731455,1789,1280.0
1521209188.8875165,1798,1680.0
1521209540.4133432,1805,1240.0
1521209986.3642244,1814,2080.0
1521210141.7571905,1817,1320.0
1521210544.6223357,1824,1480.0
1521210625.7396572,1826,860.0
1521210880.5138948,1830,1540.0
1521211521.0031953,1840,2280.0
1521211592.7337444,1841,1780.0
1521211773.1585896,1844,1820.0
1521212021.5935707,1849,1500.0
1521212257.0530756,1853,1140.0
1521212998.2424557,1866,2200.0
1521213095.7600353,1868,960.0
1521213153.4367225,1869,1480.0
1521213479.4024851,1875,1160.0
1521213531.015261,1876,1360.0
1521213582.500742,1877,1200.0
1521213685.3258796,1879,1460.0
1521213786.1357946,1881,1520.0
1521214443.078793,1893,680.0
1521215670.7061846,1911,1540.0
1521216005.3169284,1917,840.0
1521216409.7279744,1923,2000.0
1521216491.0965686,1924,2280.0
1521216848.49313,1930,1100.0
1521217103.1610126,1934,1940.0
1521217200.5012898,1936,1180.0
1521217381.8074143,1938,2280.0
1521217773.7826486,1944,1860.0
1521217981.8633022,1947,1720.0
1521218117.3228433,1949,1540.0
1521218312.0025532,1952,2040.0
1521218515.5312724,1955,2180.0
1521218726.455218,1958,1740.0
1521219375.4960587,1967,1460.0
1521219505.470966,1969,1520.0
1521220384.651917,1981,2180.0
1521220450.6653283,1982,1860.0
1521220501.538626,1983,1120.0
1521221398.4058216,1997,2120.0
1521221652.9775648,2001,2220.0
1521221990.405063,2005,2640.0
1521222256.012568,2009,1640.0
1521222326.2527761,2010,1860.0
1521222522.0461636,2013,1720.0
1521222644.4171531,2015,1160.0
1521222796.5882282,2017,2580.0
1521223321.242962,2025,1820.0
1521223464.082834,2027,1380.0
1521223673.6760175,2030,2140.0
1521223878.3966477,2033,2260.0
1521224070.6679163,2036,1300.0
1521224203.8882358,2038,1680.0
1521224385.7148926,2041,1640.0
1521224566.9632428,2044,3160.0
1521225559.8932621,2060,1760.0
1521225972.2717519,2067,1920.0
1521226363.2718923,2072,1960.0
1521226424.683007,2073,1760.0
1521226484.183754,2074,1740.0
1521226625.2406242,2076,1880.0
1521226688.8455,2077,2100.0
1521226809.9609087,2079,2460.0
1521226933.3379261,2081,1900.0
1521227206.1893833,2085,1360.0
1521227471.8271058,2089,1880.0
1521227752.7839072,2094,1520.0
1521227883.8445337,2096,1700.0
1521228393.3703353,2103,1760.0
1521228546.3604403,2105,2920.0
1521228617.9948204,2106,2620.0
1521228823.5854938,2109,2660.0
1521228933.6910365,2111,1800.0
1521229158.5592525,2115,1620.0
1521229350.2748325,2118,2020.0
1521229481.6332297,2120,2040.0
1521229604.2173982,2122,1960.0
1521229668.5655234,2123,1980.0
1521230310.6565058,2133,2700.0
1521230386.230757,2134,2340.0
1521230701.4794135,2138,2480.0
1521230902.9248447,2141,1900.0
1521231051.743499,2144,1100.0
1521231138.4456775,2145,3020.0
1521231359.5915797,2148,2160.0
1521231432.7780323,2149,2320.0
1521231538.8046567,2151,580.0
1521231832.0848124,2156,1600.0
1521231900.72918,2157,2500.0
1521232388.9177773,2164,1960.0
1521232452.872831,2165,1960.0
1521232731.4675474,2169,2200.0
1521232871.6769679,2171,2020.0
1521232983.7110615,2173,2240.0
1521233251.145537,2177,2300.0
1521233869.321893,2187,3940.0
1521234007.234127,2189,2560.0
1521234123.2475896,2191,2140.0
1521234203.8400838,2192,3150.0
1521234483.8763635,2196,2380.0
1521234622.861214,2199,1360.0
1521235171.29437,2207,1580.0
1521235458.8045025,2211,1780.0
1521235650.383781,2214,1400.0
1521236461.7680779,2225,1840.0
1521236725.202123,2229,2140.0
1521236881.8003187,2231,2100.0
1521237070.5326595,2234,2620.0
1521237240.8436208,2236,2260.0
1521237304.7467213,2237,1960.0
1521237426.4454553,2239,1820.0
